first_name,last_name,gender,dob,email,phone_number,address,city,state
James,Phillips,F,2003-01-08,james.phillips@example.com,+1-236-855-1481x257,4360 Johnson Mall,North Johnfurt,AZ
Martin,Morgan,M,1957-12-20,martin.morgan@example.com,+1-622-804-1569x690,2408 Robinson Land Apt. 665,Port Hectormouth,GU
Suzanne,Perry,M,1967-04-22,suzanne.perry@example.com,001-492-928-5717,05894 Murphy Gateway,Sanchezfort,PA
Allison,Waters,F,1955-07-25,allison.waters@example.com,8894563871,7361 Taylor Glen Suite 681,South Amandastad,LA
Joseph,Juarez,M,1974-12-23,joseph.juarez@example.com,(378)752-8795,615 Robert Park,Stewartside,WY
Rachel,Sims,F,2006-01-16,rachel.sims@example.com,+1-263-269-5213,6163 Jimmy Valleys,Nunezbury,OH
Ashley,Benton,M,1995-09-17,ashley.benton@example.com,+1-846-629-6221x899,8074 Turner Lane,Bennettland,ME
Penny,Davis,F,1989-03-22,penny.davis@example.com,(262)944-5646x855,6576 Brandon Centers Apt. 476,New Christopherport,AL
Teresa,Mullen,M,1961-10-11,teresa.mullen@example.com,4449094715,5851 Rodney Roads Apt. 771,Chavezton,OH
Joseph,Gregory,F,1977-04-29,joseph.gregory@example.com,001-728-353-6841x180,9920 Carlson Glens,East Jonathanmouth,NE
